Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag;
4303905;19;01/04/2019 08:10:00;Strada Urbana;VIALE DELLE MEDAGLIE D'ORO;in prossimità;;del civico n.;413;;Investimento di pedone;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;Ore Diurne;1;0;0;1;12.4459;41.9224;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
4303913;18;01/04/2019 09:25:00;Strada Urbana;CIRCONVALLAZIONE AURELIA;da specificare;;;;IN PROSSIMITA' PIAZZA DI VILLA CARPEGNA;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;4;12.4288;41.8959;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
4303913;18;01/04/2019 09:25:00;Strada Urbana;CIRCONVALLAZIONE AURELIA;da specificare;;;;IN PROSSIMITA' PIAZZA DI VILLA CARPEGNA;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;4;12.4288;41.8959;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;;
4303913;18;01/04/2019 09:25:00;Strada Urbana;CIRCONVALLAZIONE AURELIA;da specificare;;;;IN PROSSIMITA' PIAZZA DI VILLA CARPEGNA;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;4;12.4288;41.8959;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
4303913;18;01/04/2019 09:25:00;Strada Urbana;CIRCONVALLAZIONE AURELIA;da specificare;;;;IN PROSSIMITA' PIAZZA DI VILLA CARPEGNA;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;4;12.4288;41.8959;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;;
4303980;12;01/04/2019 14:10:00;Provinciale entro l'abitato;VIA LAURENTINA;all'intersezione semaforizzata con;VIALE DELL'OCEANO ATLANTICO;VIALE DELL'OCEANO ATLANTICO;;;Tamponamento;Intersezione semaforizzata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12.4852;41.8101;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Utilizzato;Inesploso
4303980;12;01/04/2019 14:10:00;Provinciale entro l'abitato;VIA LAURENTINA;all'intersezione semaforizzata con;VIALE DELL'OCEANO ATLANTICO;VIALE DELL'OCEANO ATLANTICO;;;Tamponamento;Intersezione semaforizzata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;2;12.4852;41.8101;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;;
4304009;18;01/04/2019 14:15:00;Strada Urbana;VIA DI BOCCEA;in prossimità;;del civico n.;575;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Temporanea di cantiere;Nuvoloso;Scarso;Buona;Ore Diurne;0;0;0;2;12.3787;41.917;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
4304009;18;01/04/2019 14:15:00;Strada Urbana;VIA DI BOCCEA;in prossimità;;del civico n.;575;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Temporanea di cantiere;Nuvoloso;Scarso;Buona;Ore Diurne;0;0;0;2;12.3787;41.917;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
4304035;17;01/04/2019 11:20:00;Strada Urbana;VIA TRIONFALE;da specificare;;;;altezza VIA DECIO FILIPPONI e VIA DELLA CAMILLUCCI;Scontro frontale/laterale SX fra veicoli in marcia;Pendenza;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12.4459;41.9286;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rifiuta cure immediate;0;NON DECEDUTO;Non accertato;
4304035;17;01/04/2019 11:20:00;Strada Urbana;VIA TRIONFALE;da specificare;;;;altezza VIA DECIO FILIPPONI e VIA DELLA CAMILLUCCI;Scontro frontale/laterale SX fra veicoli in marcia;Pendenza;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12.4459;41.9286;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
